日期,小时,区域,停车场ID,停车场名称,总车位数,入场车次,出场车次,累计在场(近似)
2026-06-01,0,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-01,0,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-01,0,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-01,1,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-01,1,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-01,1,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-01,2,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-01,2,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-01,2,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-01,3,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-01,3,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-01,3,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-01,4,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-01,4,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-01,4,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-01,5,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-01,5,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-01,5,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-01,6,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-01,6,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-01,6,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-01,7,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-01,7,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-01,7,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-01,8,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-01,8,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-01,8,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-01,9,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-01,9,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-01,9,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-01,10,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-01,10,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-01,10,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-01,11,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-01,11,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-01,11,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-01,12,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-01,12,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-01,12,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-01,13,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-01,13,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-01,13,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-01,14,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-01,14,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-01,14,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-01,15,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-01,15,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-01,15,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-01,16,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-01,16,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-01,16,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-01,17,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-01,17,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-01,17,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-01,18,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-01,18,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-01,18,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-01,19,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-01,19,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-01,19,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-01,20,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-01,20,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-01,20,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-01,21,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-01,21,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-01,21,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-01,22,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-01,22,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-01,22,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-01,23,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-01,23,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-01,23,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-02,0,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-02,0,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-02,0,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-02,1,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-02,1,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-02,1,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-02,2,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-02,2,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-02,2,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-02,3,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-02,3,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-02,3,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-02,4,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-02,4,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-02,4,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-02,5,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-02,5,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-02,5,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-02,6,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-02,6,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-02,6,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-02,7,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-02,7,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-02,7,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-02,8,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-02,8,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-02,8,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-02,9,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-02,9,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-02,9,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-02,10,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-02,10,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-02,10,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-02,11,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-02,11,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-02,11,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-02,12,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-02,12,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-02,12,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-02,13,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-02,13,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-02,13,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-02,14,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-02,14,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-02,14,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-02,15,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-02,15,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-02,15,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-02,16,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-02,16,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-02,16,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-02,17,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-02,17,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-02,17,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-02,18,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-02,18,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-02,18,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-02,19,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-02,19,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-02,19,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-02,20,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-02,20,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-02,20,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-02,21,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-02,21,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-02,21,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-02,22,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-02,22,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-02,22,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-02,23,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-02,23,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-02,23,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-03,0,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-03,0,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-03,0,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-03,1,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-03,1,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-03,1,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-03,2,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-03,2,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-03,2,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-03,3,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-03,3,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-03,3,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-03,4,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-03,4,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-03,4,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-03,5,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-03,5,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-03,5,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-03,6,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-03,6,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-03,6,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-03,7,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-03,7,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-03,7,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-03,8,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-03,8,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-03,8,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-03,9,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-03,9,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-03,9,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-03,10,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-03,10,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-03,10,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-03,11,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-03,11,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-03,11,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-03,12,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-03,12,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-03,12,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-03,13,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-03,13,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-03,13,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-03,14,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-03,14,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-03,14,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-03,15,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-03,15,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-03,15,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-03,16,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-03,16,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-03,16,高新区,3,高新万达路侧停车段,3,0,0,0
